"text","id"
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",162
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",163
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",164
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",165
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",166
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",167
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",168
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",169
"RT @CaptainAmerica: Assemble your gifts this holiday season with Marvel goodies from your favorite shops! Be Marvel. Be More. https://t.co/‚Ä¶",170
"@CaptainAmerica 
I made it. https://t.co/V8e859FBtB",171
"RT @GFierie: @Avengers @CaptainAmerica OMFG OMFG",172
"RT @CaptainAmerica: Get Marvel's #CaptainAmericaCivilWar now on Blu-ray &amp; Digital HD: https://t.co/UGDzlbJEXY https://t.co/HlXEGbaSTR",173
"#NowPlaying on #70vibefm: Gentle Stranger by @CaptainAmerica - Get RadioApp: https://t.co/obxmSko6CP https://t.co/dvZqttVmKn",174
"Watch A @YouTube Athlete Attempt To Parkour As @CaptainAmerica: https://t.co/SnQCb9nsy1 https://t.co/lS7xtBHlDk",175
"Compromise where you can and where you can't don't . 
@CaptainAmerica #CivilWar GREAT QUOTE 
KUDOS @Marvel Ì†ΩÌπåRESPECT !",176
"@CaptainAmerica haha seen it a couple of days after movie on was released..... on yts.. download it hd",177
"RT @baddangelfromig: #Halloween2017 @CaptainAmerica I hope I made him proud Ì†ºÌ∑∫Ì†ºÌ∑∏ https://t.co/1hvq7E0xaw",178
"@MarvelDcHeros @ChrisEvans @Marvel @Avengers @AvengersAcademy @CaptainAmerica @MarvelUK @MarvelStudios @marvel_jp Super pic!!!  Dammm.....!!",179
"RT @CaptainAmerica: @NWix35 Are you sure you made the right choice? Find out in theaters. https://t.co/zDLwu9SCyM",180
"The @CaptainAmerica  #SteveRogers Brown Jacket for men is available here. https://t.co/UKIG7tz31v https://t.co/vSRLVaMHFc",181
"RT @laheysvixen: .@CaptainAmerica I stand with #TeamCap. #TweetMe https://t.co/vNJiR2i2iK",182
"RT @laheysvixen: .@CaptainAmerica I stand with #TeamCap. #TweetMe https://t.co/vNJiR2i2iK",183
"All done! I think we need a little more Steve Rogers in the world, especially now: punching nazis, questioning the‚Ä¶ https://t.co/pZgoLBZu4h",184
"#NowPlaying Do That To Me One More Time by @CaptainAmerica #Listen at https://t.co/WLGeNBZb3Q https://t.co/56cP65JhsG",185
"@CaptainAmerica i got lots of ideas for your suit",186
"RT @CaptainAmerica: @MacSuzBax Are you sure you made the right choice? Find out in theaters. https://t.co/Bjbzv3JWIz",187
"RT @CaptainAmerica: @maddykasey Are you sure you made the right choice? Find out in theaters. https://t.co/UajQgEewbq",188
"@CierraSue @CaptainAmerica I honestly don‚Äôt know what I would do without you Ì†ΩÌ∏ÇÌ†æÌ¥óÌ†æÌ¥ó",189
"@jordiilocks @CaptainAmerica There's also a toaster and a tea kettle and a slow cooker. So ... you know, just letting you know ;)",190
"@CierraSue @CaptainAmerica Thank you ma‚Äôam. You‚Äôre a Ì†ºÌΩë",191
"@CaptainAmerica I Will Be Waiting For This Avengers New Movie On 2018",192
"@CaptainAmerica Eish Dude I'm The Huge Fan Of You. You My Role Model",193
"Last visits to my profile: @_3TheHardWay - @PAPASAUCE3 - @GoGetIt_James - @Reek2Xs - @longliveyc - @HimalayaIi -‚Ä¶ https://t.co/OvdnGUnTsB",194
"RT @CaptainAmerica: @mlgbronze Are you sure you made the right choice? Find out in theaters. https://t.co/lYfXxusM3K",195
"@CaptainAmerica @runDisney it is nice to meet u captain america",196
"Last visits to my profile: @DEVINci_C0DE - @vlmightyflip - @KHarrellMD - @MEANS_treak - @Kingluton - @tiggidy22 -‚Ä¶ https://t.co/Rgz12Xmi7L",197
"RT @CaptainAmerica: @Seanie265 Are you sure you made the right choice? Find out in theaters. https://t.co/i64d280C9H",198
"RT @CaptainAmerica: @Seanie265 Are you sure you made the right choice? Find out in theaters. https://t.co/2NCkpVbX1i",199
".@CaptainAmerica I stand with #TeamIronMan. #TweetMe https://t.co/AhwemrfrDe",200
"@CaptainAmerica is on the gym TV and if that's not inspiration for a few more reps, then I don't know what is.",201
"Going on a @Marvel binge today starting with @CaptainAmerica https://t.co/0nPLqM91Km",202
"@CierraSue @CaptainAmerica I do!!! Lol where is this?!?!",203
"RT @CaptainAmerica: That time when Cap and Bucky jumped onto a train and took down Red Skull‚Äôs forces. #TBT #CaptainAmericaCivilWar https:/‚Ä¶",204
"RT @CaptainAmerica: That time when Cap and Bucky jumped onto a train and took down Red Skull‚Äôs forces. #TBT #CaptainAmericaCivilWar https:/‚Ä¶",205
"RT @CaptainAmerica: That time when Cap and Bucky jumped onto a train and took down Red Skull‚Äôs forces. #TBT #CaptainAmericaCivilWar https:/‚Ä¶",206
"RT @LaoAlas: December 16th, 1991... #WinterSoldier #BuckyBarnes @CaptainAmerica",207
"RT @Satyam25Satyam: #100M views of #AvengersInfinityWarTrailer #AvengersInfinityWar @Avengers I'm hyped @Iron_Man @CaptainAmerica @MarvelSt‚Ä¶",208
"@Marvel @WolverineMovie @XMenMovies @xmentas @CaptainAmerica Who wins this weird wonder of animal aggression? Pick‚Ä¶ https://t.co/fx7jc0BlRX",209
"Dec. 16th
.
Get 15% off on your entire order when using ‚Äòifigureditout‚Äô promo code at check out. Only @Extreme_Sets‚Ä¶ https://t.co/4vwuQREkqi",210
"Watching @CaptainAmerica Civil War because, you know, December 16, 1991. @ChrisEvans #CaptainAmerica‚Ä¶ https://t.co/r5sjArAqeZ",211
"December 16th, 1991... #WinterSoldier #BuckyBarnes @CaptainAmerica",212
